,会社名,仕事内容,対象となる方,勤務地,給与,初年度年収
0,株式会社ヤマダホールディングス | ヤマダライフ保険：取扱保険会社21社／正社員登用制度あり,【面談は新規だけで毎月10件以上！案件は会社が無償提供で見込客の作成も必要なし】ヤマダデンキのお客様への家計相談を通じた金融サービスの提案です,【インセンの還元率も高く、社員の半数がMDRT基準クリアを実現！】保険・金融・証券業界での営業経験者は即戦力として優遇します（FP資格不問）,★希望勤務地考慮 ★関東エリア（東京/神奈川/千葉/埼玉）の各店舗での勤務となります。 【東京】…,月給18万円〜＋インセンティブ(毎月支給) ★昨年度は月収200万円を達成する社員が毎月必ずいました。 【…,500万円～2000万円
1,株式会社ビッグモーター | 億単位の設備とクリーンな環境◆月8日以上休み／賞与年2回,《インセンがあるから月収50万円以上も可能》オイル交換などの簡単な業務から、定期点検や事故車の修理対応などをお任せします。★研修制度あり,《未経験・無資格・第二新卒歓迎◆経験者優遇》「クルマが好き！手に職つけたい！スキルを磨きたい！」方を歓迎 ★多彩な福利厚生 ★資格取得支援,《転勤なし！U・Iターン歓迎！マイカー通勤OK！》 ★勤務地は希望を最大限考慮します！ 下記エリア…,"月給228,600円以上＋インセン（月平均10〜20万円）＋諸手当 ※スキル・経験等を考慮し、決定します。 ※…",300万円～1000万円
2,株式会社ビッグモーター | マイカー通勤OK◆年収例500万円（26歳：未経験入社3年目）,《1～2時間の短距離！夜勤なし♪》クルマの引取り・納車などの配送や運搬をお任せします。★1日に2～3件対応します。,《必要なのは普通免許のみ！》 ＼未経験・第二新卒歓迎！ブランク・転職回数・学歴など不問♪／ ★20～40代が活躍中！,★転勤なし ★全国募集（鈑金工場併設店舗） ★マイカー通勤OK！ ★U・Iターン歓迎♪ ★勤務地は…,月給27万8600円〜40万円 ＋ 賞与年2回 ＋ 諸手当 ※スキル・経験等を考慮し、決定いたします。 ※配送手…,300万円～700万円
3,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】★WEB面接OK,【地道な作業が好きな方は打ってつけのお仕事！】ものづくり工場にて、製品の箱づめ・在庫確認・納品チェック等の業務を担当★4月入社歓迎,【男性多数活躍中】「地道な作業が好き」「作業をすると自分の世界に入って時間を忘れてしまう」そんな方はぜひご応募を！★学歴・経験不問,【転勤なし】全国40都道府県に配属！全国各地に勤務地あり！ <勤務地一覧> ■北海道 ■東北・北陸…,月給20万〜30万円 （月収例：42万円／月給30万円＋手当） ※勤務地により異なります ※経験・能力などを…,300万円～500万円
4,株式会社ビッグモーター | 業界No.1企業★月8日休み★転勤なし★産休育休の取得実績多数,【100%反響スタイル＆ノルマなし】ご来店されたお客さまに「欲しいクルマ」を伺い、約5万台の在庫からピッタリなクルマをご提案する仕事です。,【未経験歓迎／男女ともに活躍中！クルマに詳しくなくてもOK】◆40歳以下★プライベートも大切にしたい方★好きな街で働きたい方★収入UPしたい方,【全国約300店舗/転勤なし/マイカー通勤OK】 勤務地は希望を最大限考慮します 北海道（北海道）…,月給22万8600円〜70万円(一律手当含む)＋インセンティブ＋賞与年2回+諸手当 ※年齢・能力を考慮のうえ、…,330万円～1500万円
5,株式会社ビルドイット | 設計からの請負い案件100％で高収入可 ★残業全社月平均10h以下,【土日祝休み／夜勤・シフト勤務は一切なし！】希望や適性に応じて、インフラ・開発・協力企業開拓の営業いずれかをお任せ！★製品選定もできます！,【20～30代活躍中／資格・学歴不問】◎エンジニアの実務経験（年数不問）もしくはSES営業経験がある方 ★中途入社者が100% ★女性エンジニア活躍中,《転居を伴う転勤なし》 ◆本社 港区芝大門1-10-11芝大門センタービル10F 〜アクセス〜 ・…,月給30万円〜50万円 ＋ 賞与年2回 ＼前職から年収の120%の増額をお約束します！／ ★経験やスキルに応じ…,400万円～675万円
6,東京エムケイ株式会社 | 【平均年収817万円】有給取得率80％超◆男性の育休/時短勤務実績,【事前予約中心 × 長距離送迎 ＝ 高収入】◆お客様はご予約の方やリピーターがメインです ◆ベンツなど、誰もが憧れる高級車に乗務！,【未経験歓迎！年齢不問】＼未経験でも研修3ヶ月計100万円の保証給／◆普通免許取得後3年以上(AT限定可) ★コロナ対策も万全！ドライバーの健康も配慮,★首都圏（東京都・神奈川県・千葉県）が担当エリア ★転勤なし 【汐留営業所】 東京都港区東新橋1-…,▼3ヶ月の保証給<合計100万円！>＋各種お祝い金有 1ヶ月目:月給30万円 2・3ヶ月目:月給35万円 4ヵ月目以…,450万円～550万円
7,株式会社タウンハウジング | 【CMも放映！今期過去最高益の見込】1都3件に101店舗展開！,【集客に追われない店舗での反響対応！】チームで協力し売上をつくるルームアドバイザー業務★業績好調！高収入＆早期昇格が可能★長期連休もあり！,【未経験・第二新卒歓迎/お客様本位の接客・営業がしたい方に最適】◎正社員・社会人デビューを目指す方も歓迎★3カ月の研修で基礎知識から習得！,【原則転居を伴う転勤なし】 首都圏101店舗の直営店（東京／神奈川／埼玉／千葉） ★お住まいから無…,"◆月給24万5,000円以上 ＋ 充実の手当 ＋ 歩合給 ※経験・年齢を考慮のうえ、当社規定により優遇いたし…",350万円～600万円
8,株式会社サニックス | ◆東証一部上場企業 ◆初任地は希望勤務地を確約／年間休日115日,【 知名度が高く、営業活動がしやすい！ 】◎総合住環境サービスの提案営業　◆固定給にプラスで歩合給と報奨金を支給　◆賞与年2回／連休が基本,＊未経験歓迎＊ 管理職経験やマネジメントスキルも不問　◎高卒以上　◎要運転免許　◆手厚い教育研修を用意　◆40代未経験で入社した人も沢山います,中京・関西・中国・四国・九州エリア ※希望勤務地を考慮し配属先を決定 中京 名古屋市 浜松市 羽島…,【1】中京・関西 月給29万1千円 【2】九州・中国・四国 月給26万6千円 ※上記に別途、歩合給、報奨金あ…,
9,株式会社ビッグモーター | ◆最高年収2282万円◆未経験歓迎◆業界No.1◆月8日以上休み,《ノルマなしの完全反響スタイル！》お客様の来店や問合せに対してクルマの販売や買取を行います。★お客様の3人に1人が契約につながっています。,《意欲重視／未経験・第二新卒歓迎》◆高卒以上　「高収入を実現したい」大歓迎です！ ★クルマに関する知識や営業経験などは一切不問！,《全国約300店舗！転勤なし！マイカー通勤OK！》 ★勤務地は希望を最大限考慮します！ ■北海道…,月給22万8600円〜70万円（一律手当含む）＋インセンティブ＋賞与年2回＋諸手当 ※年齢・能力を考慮のう…,330万円～1500万円
10,株式会社ユタカホーム | ★残業1日1H以下★転勤ナシ★定着率97％★未経験の先輩多数,【転勤＆遠方対応ナシ＆直帰もOK！】住宅リフォーム工事の管理業務を担当 ◆施工範囲は近隣エリアオンリー！★定時退社可能！17時に帰るメンバーも◎,【未経験者歓迎】★学歴・性別不問 ★飲食店店長など、他業種出身の先輩が活躍！安定性抜群の環境へジョブチェンジしませんか？【20～30代活躍中！】,★板橋駅より徒歩5分 ★転勤なし！ 【本社】 東京都北区滝野川7丁目35-10　アルス立野岡1F…,◆月給：35万円以上+インセンティブ ◎経験・スキルに応じて優遇します。 ◎案件数に応じてインセンティ…,400万円～600万円
11,クレストジャパン株式会社 | ★経験者採用・年収1000万以上目指す人、大募集★歩合率20％,《20～30代活躍中！転勤なし／不動産売買の仲介営業》営業スタイルはお任せ！仲介手数料の20%があなたの手に！4ケタ年収も十分目指せます！,★業界経験者歓迎★宅建資格のある方大歓迎（手当有）★要普免（AT限定可）★仲介営業／用地仕入れ／リノベ再販営業いずれかの経験がある方は大歓迎★,《転勤ナシ》 東京都新宿区西新宿6-12-4　コイトビル7階 【アクセス】 丸ノ内線 「西新宿駅」…,月給25万円〜30万円＋仲介手数料20％の高率歩合 ※試用期間3ヶ月あり（期間中の待遇に変更ナシ） ＜歩合…,550万円～1000万円
